round_number,train_loss,train_accuracy,eval_loss,eval_accuracy,fit_duration_sec,network_delay_sec,comm_bytes_up,comm_bytes_down,num_clients
1,,,1.6114424247741699,0.4441,,0.0,14070000,14070000,6
2,,,1.3432528995513917,0.5277,,0.0,14070000,14070000,6
3,,,1.2280618364334106,0.5693,,0.0,14070000,14070000,6
4,,,1.1297521558761596,0.6092,,0.0,14070000,14070000,6
5,,,1.0359804904937744,0.6386,,0.0,14070000,14070000,6
6,,,0.9935151218414306,0.6541,,0.0,14070000,14070000,6
7,,,0.9352368207931518,0.6753,,0.0,14070000,14070000,6
8,,,0.897652693271637,0.6912,,0.0,14070000,14070000,6
9,,,0.8769333795547485,0.7013,,0.0,14070000,14070000,6
10,,,0.8312894563674926,0.7131,,0.0,14070000,14070000,6
