round_number,train_loss,train_accuracy,eval_loss,eval_accuracy,fit_duration_sec,network_delay_sec,comm_bytes_up,comm_bytes_down,num_clients
1,,,1.7523105743408203,0.3678,,,14070000,14070000,6
2,,,1.506066379928589,0.4539,,,14070000,14070000,6
3,,,1.3670300130844115,0.5129,,,14070000,14070000,6
4,,,1.273069725227356,0.5478,,,14070000,14070000,6
5,,,1.1691583951950073,0.5843,,,14070000,14070000,6
6,,,1.09217095413208,0.6098,,,14070000,14070000,6
7,,,1.0484963869094848,0.6253,,,14070000,14070000,6
8,,,0.995637087726593,0.6514,,,14070000,14070000,6
9,,,0.9498706786155701,0.669,,,14070000,14070000,6
10,,,0.9018996838569641,0.6869,,,14070000,14070000,6
