round_number,train_loss,train_accuracy,eval_loss,eval_accuracy,fit_duration_sec,network_delay_sec,comm_bytes_up,comm_bytes_down,num_clients
1,,,0.07579275632984936,0.9769,,0.0,39920880,39920880,6
2,,,0.042485682089941114,0.985,,0.0,39920880,39920880,6
3,,,0.03393144771118532,0.9885,,0.0,39920880,39920880,6
4,,,0.028649175687500975,0.9904,,0.0,39920880,39920880,6
5,,,0.026917478541791207,0.9899,,0.0,39920880,39920880,6
6,,,0.024360301638831152,0.9913,,0.0,39920880,39920880,6
7,,,0.02299520098620851,0.9917,,0.0,39920880,39920880,6
8,,,0.020943048509029904,0.9921,,0.0,39920880,39920880,6
9,,,0.021373112788113213,0.9924,,0.0,39920880,39920880,6
10,,,0.021587311796253925,0.9922,,0.0,39920880,39920880,6
