round_number,train_loss,train_accuracy,eval_loss,eval_accuracy,fit_duration_sec,network_delay_sec,comm_bytes_up,comm_bytes_down,num_clients
1,,,0.07577203709930182,0.976,168.766044046999,0.06387340799999998,39920880,39920880,6
2,,,0.04643815324464813,0.984,167.3606228750068,0.06387340799999998,39920880,39920880,6
3,,,0.03451697808802128,0.9889,178.46841551899706,0.06387340799999998,39920880,39920880,6
4,,,0.028679303172882645,0.9899,171.47819797900593,0.06387340799999998,39920880,39920880,6
5,,,0.026318053277488797,0.9912,167.51470215299923,0.06387340799999998,39920880,39920880,6
6,,,0.023448279181472027,0.9917,168.1126502019979,0.06387340799999998,39920880,39920880,6
7,,,0.022460034837434067,0.9924,167.44382019699697,0.06387340799999998,39920880,39920880,6
8,,,0.02108726233523339,0.9923,167.0748620670056,0.06387340799999998,39920880,39920880,6
9,,,0.01963945208741352,0.9931,167.95396842499758,0.06387340799999998,39920880,39920880,6
10,,,0.02051699763237266,0.9927,168.14129205399513,0.06387340799999998,39920880,39920880,6
