round_number,train_loss,train_accuracy,eval_loss,eval_accuracy,fit_duration_sec,network_delay_sec,comm_bytes_up,comm_bytes_down,num_clients
1,,,0.07577203709930182,0.976,169.13075064900477,0.06387340799999998,39920880,39920880,6
2,,,0.04643815324464813,0.984,167.81706367999868,0.06387340799999998,39920880,39920880,6
3,,,0.03451697808802128,0.9889,168.69466518399713,0.06387340799999998,39920880,39920880,6
4,,,0.028679303172882645,0.9899,168.67043185100192,0.06387340799999998,39920880,39920880,6
5,,,0.026318053277488797,0.9912,168.79125999900134,0.06387340799999998,39920880,39920880,6
6,,,0.023448279181472027,0.9917,168.6620192909977,0.06387340799999998,39920880,39920880,6
7,,,0.022460034837434067,0.9924,168.22783548600273,0.06387340799999998,39920880,39920880,6
8,,,0.02108726233523339,0.9923,168.57586847000493,0.06387340799999998,39920880,39920880,6
9,,,0.01963945208741352,0.9931,167.70634889000212,0.06387340799999998,39920880,39920880,6
10,,,0.02051699763237266,0.9927,168.4367425149976,0.06387340799999998,39920880,39920880,6
