round_number,train_loss,train_accuracy,eval_loss,eval_accuracy,fit_duration_sec,network_delay_sec,comm_bytes_up,comm_bytes_down,num_clients
1,,,0.07577203652765602,0.976,,,39920880,39920880,6
2,,,0.04543105762624182,0.9846,,,39920880,39920880,6
3,,,0.03560289775968995,0.9877,,,39920880,39920880,6
4,,,0.030137657392804978,0.9901,,,39920880,39920880,6
5,,,0.027150950312271015,0.9905,,,39920880,39920880,6
6,,,0.02532558005140163,0.9911,,,39920880,39920880,6
7,,,0.02387368748518638,0.9919,,,39920880,39920880,6
8,,,0.023514288663936896,0.9922,,,39920880,39920880,6
9,,,0.02291923674550926,0.9922,,,39920880,39920880,6
10,,,0.021914799948665315,0.9923,,,39920880,39920880,6
