round_number,train_loss,train_accuracy,eval_loss,eval_accuracy,fit_duration_sec,network_delay_sec,comm_bytes_up,comm_bytes_down,num_clients
1,,,1.7367769470214844,0.3793,132.3186731859969,0.022511999999999994,14070000,14070000,6
2,,,1.4994212127685547,0.4622,134.12898125700303,0.022511999999999994,14070000,14070000,6
3,,,1.3721618377685547,0.5049,131.49553996000031,0.022511999999999994,14070000,14070000,6
4,,,1.2913416673660278,0.5379,132.33094300700031,0.022511999999999994,14070000,14070000,6
5,,,1.2013404638290406,0.5723,132.59955024299416,0.022511999999999994,14070000,14070000,6
6,,,1.143420778274536,0.5936,131.38051243500377,0.022511999999999994,14070000,14070000,6
7,,,1.0721314123153687,0.6268,130.61459050900157,0.022511999999999994,14070000,14070000,6
8,,,1.0178399874687194,0.6388,131.6106370310008,0.022511999999999994,14070000,14070000,6
9,,,0.9451371464729309,0.6684,131.17218085999775,0.022511999999999994,14070000,14070000,6
10,,,0.9163077909469605,0.6785,130.75560761599627,0.022511999999999994,14070000,14070000,6
