round_number,train_loss,train_accuracy,eval_loss,eval_accuracy,fit_duration_sec,network_delay_sec,comm_bytes_up,comm_bytes_down,num_clients
1,,,1.5136223651885987,0.4757,,0.0,14070000,14070000,6
2,,,1.3080906423568726,0.5422,,0.0,14070000,14070000,6
3,,,1.2251043710708618,0.5695,,0.0,14070000,14070000,6
4,,,1.1148830547332764,0.6113,,0.0,14070000,14070000,6
5,,,1.04548065032959,0.6359,,0.0,14070000,14070000,6
6,,,0.9925372232437134,0.6532,,0.0,14070000,14070000,6
7,,,0.920272109413147,0.6803,,0.0,14070000,14070000,6
8,,,0.9016423966407776,0.684,,0.0,14070000,14070000,6
9,,,0.8512461610794068,0.7073,,0.0,14070000,14070000,6
10,,,0.8348098171234131,0.7127,,0.0,14070000,14070000,6
