round_number,train_loss,train_accuracy,eval_loss,eval_accuracy,fit_duration_sec,network_delay_sec,comm_bytes_up,comm_bytes_down,num_clients
1,,,1.7367769470214844,0.3793,132.57251219300088,0.022511999999999994,14070000,14070000,6
2,,,1.4994212127685547,0.4622,132.5449076520017,0.022511999999999994,14070000,14070000,6
3,,,1.3721618377685547,0.5049,133.00938340099674,0.022511999999999994,14070000,14070000,6
4,,,1.2913416673660278,0.5379,132.93487648999871,0.022511999999999994,14070000,14070000,6
5,,,1.2013404638290406,0.5723,132.56339027600188,0.022511999999999994,14070000,14070000,6
6,,,1.143420778274536,0.5936,132.2174592299998,0.022511999999999994,14070000,14070000,6
7,,,1.0721314123153687,0.6268,132.1223276419987,0.022511999999999994,14070000,14070000,6
8,,,1.0178399874687194,0.6388,131.67183939299866,0.022511999999999994,14070000,14070000,6
9,,,0.9451371464729309,0.6684,131.865974938999,0.022511999999999994,14070000,14070000,6
10,,,0.9163077909469605,0.6785,132.04602533899742,0.022511999999999994,14070000,14070000,6
