round_number,train_loss,train_accuracy,eval_loss,eval_accuracy,fit_duration_sec,network_delay_sec,comm_bytes_up,comm_bytes_down,num_clients
1,,,0.06902841101512312,0.9794,,0.0,39920880,39920880,6
2,,,0.04403411001552595,0.9846,,0.0,39920880,39920880,6
3,,,0.030840813197538956,0.9888,,0.0,39920880,39920880,6
4,,,0.027447158812137787,0.9912,,0.0,39920880,39920880,6
5,,,0.025099993131958764,0.9919,,0.0,39920880,39920880,6
6,,,0.023817805319750914,0.9915,,0.0,39920880,39920880,6
7,,,0.02251290489631574,0.9924,,0.0,39920880,39920880,6
8,,,0.022088275339867687,0.9924,,0.0,39920880,39920880,6
9,,,0.02049337228356162,0.9925,,0.0,39920880,39920880,6
10,,,0.018712213166765287,0.9936,,0.0,39920880,39920880,6
