round_number,train_loss,train_accuracy,eval_loss,eval_accuracy,fit_duration_sec,network_delay_sec,comm_bytes_up,comm_bytes_down,num_clients
1,,,0.08414864170998335,0.9748,171.35474639599943,0.06387340799999998,39920880,39920880,6
2,,,0.05096841170853004,0.9825,171.29147758199997,0.06387340799999998,39920880,39920880,6
3,,,0.036969775168225166,0.9874,170.64650586400057,0.06387340799999998,39920880,39920880,6
4,,,0.030900136742321775,0.9901,171.44691177000004,0.06387340799999998,39920880,39920880,6
5,,,0.02732555271172896,0.9914,171.49859550700057,0.06387340799999998,39920880,39920880,6
6,,,0.026593965257145465,0.9905,171.5862706480002,0.06387340799999998,39920880,39920880,6
7,,,0.024977387154172175,0.9917,170.35563839899987,0.06387340799999998,39920880,39920880,6
8,,,0.023224082914507015,0.992,171.1541720940004,0.06387340799999998,39920880,39920880,6
9,,,0.02415367269946728,0.9921,171.16595724499984,0.06387340799999998,39920880,39920880,6
10,,,0.022245251019246643,0.9931,171.63699247100067,0.06387340799999998,39920880,39920880,6
