round_number,train_loss,train_accuracy,eval_loss,eval_accuracy,fit_duration_sec,network_delay_sec,comm_bytes_up,comm_bytes_down,num_clients
1,,,1.5625078329086304,0.4605,,0.0,,,6
2,,,1.320103402709961,0.5328,,0.0,,,6
3,,,1.1961037782669068,0.5846,,0.0,,,6
4,,,1.1079865701675415,0.6061,,0.0,,,6
5,,,1.0331400592803954,0.642,,0.0,,,6
6,,,0.9950989910125733,0.6563,,0.0,,,6
7,,,0.9321885028839111,0.676,,0.0,,,6
8,,,0.8856415734291077,0.698,,0.0,,,6
9,,,0.8554639616966248,0.7078,,0.0,,,6
10,,,0.8230881370544434,0.7174,,0.0,,,6
