round_number,train_loss,train_accuracy,eval_loss,eval_accuracy,fit_duration_sec,network_delay_sec,comm_bytes_up,comm_bytes_down,num_clients
1,2.0522567354631422,,1.7507380296707153,0.3814,,,,,6
2,1.7528102046751977,,1.5071968618392944,0.4596,,,,,6
3,1.5915223374700547,,1.3746839626312255,0.4984,,,,,6
4,1.4966414095187188,,1.2848011545181275,0.5454,,,,,6
5,1.4018550305199624,,1.177656936073303,0.5863,,,,,6
6,1.322181554825306,,1.0883700818061828,0.612,,,,,6
7,1.2534257195091247,,1.0368098751068116,0.6323,,,,,6
8,1.1914171663093567,,0.9855574222564697,0.6584,,,,,6
9,1.1408363242852688,,0.9387514410018921,0.6747,,,,,6
10,1.0976317330634593,,0.8962334497451783,0.6884,,,,,6
