round_number,train_loss,train_accuracy,eval_loss,eval_accuracy,fit_duration_sec,network_delay_sec,comm_bytes_up,comm_bytes_down,num_clients
1,,,1.7197686382293702,0.3862,133.2899094610002,0.022511999999999994,14070000,14070000,6
2,,,1.482479733467102,0.4635,133.0275003349998,0.022511999999999994,14070000,14070000,6
3,,,1.3717827548980712,0.5041,131.24718960899918,0.022511999999999994,14070000,14070000,6
4,,,1.292369841003418,0.5353,132.574969917001,0.022511999999999994,14070000,14070000,6
5,,,1.2135287141799926,0.5612,132.21811420799895,0.022511999999999994,14070000,14070000,6
6,,,1.1155259664535522,0.6029,131.52363800000057,0.022511999999999994,14070000,14070000,6
7,,,1.0486228697776794,0.6374,131.2896235699991,0.022511999999999994,14070000,14070000,6
8,,,0.9875657974243164,0.6548,131.61678861100154,0.022511999999999994,14070000,14070000,6
9,,,0.9558805378913879,0.6663,130.48660417899737,0.022511999999999994,14070000,14070000,6
10,,,0.9133973385810852,0.6795,131.7640739620001,0.022511999999999994,14070000,14070000,6
