round_number,train_loss,train_accuracy,eval_loss,eval_accuracy,fit_duration_sec,network_delay_sec,comm_bytes_up,comm_bytes_down,num_clients
1,,,1.5490078952789306,0.4621,,0.0,14070000,14070000,6
2,,,1.3182525232315063,0.5357,,0.0,14070000,14070000,6
3,,,1.2106909952163696,0.5708,,0.0,14070000,14070000,6
4,,,1.1186002696990966,0.6113,,0.0,14070000,14070000,6
5,,,1.0552989212036132,0.6328,,0.0,14070000,14070000,6
6,,,0.9841566114425659,0.6563,,0.0,14070000,14070000,6
7,,,0.9371909212112427,0.6781,,0.0,14070000,14070000,6
8,,,0.9151178133010864,0.6819,,0.0,14070000,14070000,6
9,,,0.8741326247215271,0.6944,,0.0,14070000,14070000,6
10,,,0.8426370288848877,0.7124,,0.0,14070000,14070000,6
