round_number,train_loss,train_accuracy,eval_loss,eval_accuracy,fit_duration_sec,network_delay_sec,comm_bytes_up,comm_bytes_down,num_clients
1,,,0.08278373578861356,0.9758,,0.0,39920880,39920880,6
2,,,0.04475943307946436,0.9857,,0.0,39920880,39920880,6
3,,,0.03467732713266741,0.9885,,0.0,39920880,39920880,6
4,,,0.029008623110759073,0.9905,,0.0,39920880,39920880,6
5,,,0.02545287705161609,0.9913,,0.0,39920880,39920880,6
6,,,0.02355808239079779,0.9918,,0.0,39920880,39920880,6
7,,,0.02420825622768607,0.9915,,0.0,39920880,39920880,6
8,,,0.021610545035699032,0.9927,,0.0,39920880,39920880,6
9,,,0.02047830097367987,0.9927,,0.0,39920880,39920880,6
10,,,0.01983133762259531,0.9929,,0.0,39920880,39920880,6
