round_number,train_loss,train_accuracy,eval_loss,eval_accuracy,fit_duration_sec,network_delay_sec,comm_bytes_up,comm_bytes_down,num_clients
1,,,0.07679819814264774,0.9758,169.3585051280097,0.06387340799999998,39920880,39920880,6
2,,,0.04491693467870354,0.9849,169.13079503999325,0.06387340799999998,39920880,39920880,6
3,,,0.03470120060117915,0.9879,168.49874824800645,0.06387340799999998,39920880,39920880,6
4,,,0.02741191784669645,0.9898,168.26119568798458,0.06387340799999998,39920880,39920880,6
5,,,0.02636303300186992,0.9906,167.94725438099704,0.06387340799999998,39920880,39920880,6
6,,,0.024134864858479706,0.9911,167.8987080930092,0.06387340799999998,39920880,39920880,6
7,,,0.022497327957767994,0.9918,168.77423371002078,0.06387340799999998,39920880,39920880,6
8,,,0.021476323434745426,0.992,168.03898611999466,0.06387340799999998,39920880,39920880,6
9,,,0.020746057446213672,0.9924,168.15464119400713,0.06387340799999998,39920880,39920880,6
10,,,0.020786961114488075,0.9922,168.49901643701014,0.06387340799999998,39920880,39920880,6
